City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
537,dwarka,22.2394,68.9678,29.879999999999995,71,79,6.03,IN,1689158889
538,whakatane,-37.9585,176.9854,10.990000000000009,82,8,3.22,NZ,1689158890
539,khurai,24.0436,78.3319,32.76000000000005,56,58,1.85,IN,1689158891
540,sinop,41.7711,34.8709,23.24000000000001,49,11,2.67,TR,1689158892
541,miri,4.4148,114.0089,28.08000000000004,78,40,1.54,MY,1689158893
542,fairmont,39.4851,-80.1426,19.310000000000002,94,47,1.63,US,1689158885
543,hoemul-li,41.4339,129.67,22.689999999999998,84,41,2.62,KP,1689158895
544,jieshi,22.8134,115.8257,28.79000000000002,78,48,3.62,CN,1689158897
545,santanyi,39.3546,3.1291,37.68000000000001,61,1,4.02,ES,1689158898
546,chibuto,-24.6867,33.5306,21.27000000000004,45,50,6.2,MZ,1689158899
547,kismayo,-0.3582,42.5454,27.930000000000007,64,11,8.72,SO,1689158900
548,ouarzazat,30.9189,-6.8934,34.160000000000025,8,1,1.03,MA,1689158901
549,mankato,44.1636,-93.9994,16.49000000000001,92,75,4.63,US,1689158902
550,carbondale,37.7273,-89.2168,18.920000000000016,95,100,0.0,US,1689158903
551,alassio,44.0039,8.1671,31.680000000000007,72,40,4.63,IT,1689158904
552,cabedelo,-6.9811,-34.8339,23.370000000000005,77,0,5.6,BR,1689158905
553,san luis de la loma,17.2706,-100.8939,24.590000000000032,89,100,5.05,MX,1689158906
554,kayangel,8.0823,134.7173,27.25,85,100,8.35,PW,1689158907
555,bardai,11.65,7.2333,32.31,40,92,2.63,NG,1689158908
556,ceeldheer,3.8488,47.1806,30.82000000000005,53,90,11.59,SO,1689158909
557,north platte,41.1239,-100.7654,22.430000000000007,94,0,3.13,US,1689158910
558,natal,-5.795,-35.2094,24.120000000000005,88,20,3.6,BR,1689158822
559,dickinson,29.4608,-95.0513,28.379999999999995,90,75,3.6,US,1689158720
560,altai,46.3722,96.2583,10.590000000000032,84,94,3.63,MN,1689158914
561,sisimiut,66.9395,-53.6735,11.090000000000032,84,93,2.53,GL,1689158915
562,turtas,58.9417,69.1325,33.870000000000005,40,63,2.15,RU,1689158916
